username,password,role
admin1,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,ADMIN
library1,cac41b39ad3f275fa6f2cadc51b8483f9edb99f9b2c745585fb2897a8d0f058c,LIBRARY
S009,aed7fc455020d0600eb565dd56167c94e65fbf0ceb654dbc275601e455b5765b,STUDENT
F002,6a695974383a7dfc81b0c3d8b5add2c117b20a099d0e6b900f65cedb09aaa11b,FACULTY
S010,aed7fc455020d0600eb565dd56167c94e65fbf0ceb654dbc275601e455b5765b,STUDENT
S011,abcd14af6ba77954599da25476be9c611b35fe0c3d9f8f40b14966872fe60473,STUDENT
F003,2166eb2f1010a3d6635d91774ecc34a7fd0568ae1059f68064577e35596a9321,FACULTY
S012,575314442af42dd620d415c85ccdfd6a7bca3d1891bc2708ed99a55365a32ba4,STUDENT
F004,cb58e69ca41febd51d3a8c60fd0adae6d56ffe60dba11401a8603c1016190295,FACULTY
S013,0ea6ee4ca17bbc7db1f8efd1113882ee7ad9e957652140895d892a9543cb1c2e,STUDENT
S014,2ec30b52144c2e083a754af53e7aa36c437c2cf664889c0fdc329e4fd4ce9853,STUDENT
S001,912946a349e2e320f46b98d61d601d8bf9adc92e70964e9e40419a7478652714,STUDENT
F005,a6f0f20dd163dc32b41ca87f01f4738ad012a48752577cbd7f6f1471d56691df,FACULTY
